Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2025 Q2	Riverside, CA	20%	1,846	-2%
2025 Q2	Sacramento, CA	20%	1,169	-2%
2025 Q2	San Diego, CA	24%	1,617	+2%
2025 Q2	San Francisco, CA	26%	751	+25%
2025 Q2	San Jose, CA	21%	728	+10%
2025 Q2	Seattle, WA	11%	997	+50%
2025 Q2	Tampa, FL	17%	2,279	-12%
2025 Q2	Virginia Beach, VA	11%	822	+0%
2025 Q2	Warren, MI	9%	699	-13%
2025 Q2	Washington, DC	10%	1,399	+3%
2025 Q2	West Palm Beach, FL	19%	1,349	-14%
2025 Q1	National	20%	47,960	+2%
2025 Q1	Anaheim, CA	26%	1,204	+18%
2025 Q1	Atlanta, GA	21%	3,091	-11%
2025 Q1	Baltimore, MD	21%	1,436	+4%
2025 Q1	Charlotte, NC	21%	1,420	+3%
2025 Q1	Chicago, IL	15%	2,010	+18%
2025 Q1	Cincinnati, OH	19%	763	-1%
2025 Q1	Cleveland, OH	27%	1,105	-3%
2025 Q1	Columbus, OH	17%	724	-15%
2025 Q1	Denver, CO	14%	1,015	-3%
2025 Q1	Fort Lauderdale, FL	20%	1,136	-11%
2025 Q1	Jacksonville, FL	21%	957	-12%
2025 Q1	Las Vegas, NV	24%	1,696	+2%
2025 Q1	Los Angeles, CA	25%	2,678	+19%
2025 Q1	Miami, FL	31%	1,686	-19%
2025 Q1	Milwaukee, WI	18%	550	+3%
2025 Q1	Minneapolis, MN	12%	871	-11%
2025 Q1	Montgomery County, PA	12%	424	+7%
2025 Q1	Nashville, TN	19%	958	+8%
2025 Q1	New Brunswick, NJ	16%	899	+14%
2025 Q1	New York, NY	21%	2,505	+14%
2025 Q1	Newark, NJ	16%	660	+3%
2025 Q1	Oakland, CA	18%	749	+16%
2025 Q1	Orlando, FL	25%	1,829	-12%
2025 Q1	Philadelphia, PA	20%	832	-2%
2025 Q1	Phoenix, AZ	21%	3,135	-1%
2025 Q1	Portland, OR	13%	608	+31%
2025 Q1	Providence, RI	10%	193	-7%
2025 Q1	Riverside, CA	22%	1,796	+15%
2025 Q1	Sacramento, CA	22%	1,038	+20%
2025 Q1	San Diego, CA	25%	1,279	-3%
2025 Q1	San Francisco, CA	24%	483	+10%
2025 Q1	San Jose, CA	20%	474	+17%
2025 Q1	Seattle, WA	13%	720	+42%
2025 Q1	Tampa, FL	22%	2,367	+0%
2025 Q1	Virginia Beach, VA	13%	624	-4%
2025 Q1	Warren, MI	11%	644	-11%
2025 Q1	Washington, DC	13%	1,279	+5%
2025 Q1	West Palm Beach, FL	21%	1,171	-7%
2024 Q4	National	18%	48,915	-3%
2024 Q4	Anaheim, CA	24%	1,221	+10%
2024 Q4	Atlanta, GA	19%	3,060	-19%
2024 Q4	Baltimore, MD	17%	1,387	-5%
2024 Q4	Charlotte, NC	20%	1,428	-7%
2024 Q4	Chicago, IL	13%	1,907	-21%
2024 Q4	Cincinnati, OH	17%	829	-8%
2024 Q4	Cleveland, OH	24%	1,360	+7%
2024 Q4	Columbus, OH	16%	880	-10%
2024 Q4	Denver, CO	14%	1,168	+2%
2024 Q4	Fort Lauderdale, FL	21%	1,348	-8%
2024 Q4	Jacksonville, FL	21%	994	-15%
2024 Q4	Las Vegas, NV	23%	1,521	+6%
2024 Q4	Los Angeles, CA	21%	2,765	+12%
2024 Q4	Miami, FL	32%	1,988	-17%
2024 Q4	Milwaukee, WI	15%	612	+0%
2024 Q4	Minneapolis, MN	11%	1,107	-7%
2024 Q4	Montgomery County, PA	10%	487	-9%
2024 Q4	Nashville, TN	18%	1,020	+1%
2024 Q4	New Brunswick, NJ	13%	946	-3%
2024 Q4	New York, NY	18%	2,326	+6%
2024 Q4	Newark, NJ	13%	668	-2%
2024 Q4	Oakland, CA	17%	853	+19%
2024 Q4	Orlando, FL	24%	1,811	-14%
2024 Q4	Philadelphia, PA	20%	1,045	+15%
2024 Q4	Phoenix, AZ	20%	2,781	+2%
2024 Q4	Portland, OR	13%	608	+13%
2024 Q4	Providence, RI	8%	219	-5%
2024 Q4	Riverside, CA	19%	1,669	+3%
2024 Q4	Sacramento, CA	19%	1,067	+12%
2024 Q4	San Diego, CA	22%	1,300	+5%
2024 Q4	San Francisco, CA	22%	554	+22%
2024 Q4	San Jose, CA	17%	533	+20%
2024 Q4	Seattle, WA	11%	617	+31%
2024 Q4	Tampa, FL	20%	2,042	-16%
2024 Q4	Virginia Beach, VA	12%	678	-1%
2024 Q4	Warren, MI	10%	773	+0%
2024 Q4	Washington, DC	11%	1,295	+9%
2024 Q4	West Palm Beach, FL	19%	1,005	-19%
2024 Q3	National	16%	52,030	-2%
2024 Q3	Anaheim, CA	25%	1,354	+13%
2024 Q3	Atlanta, GA	18%	3,474	-11%
2024 Q3	Baltimore, MD	15%	1,207	-8%
2024 Q3	Charlotte, NC	17%	1,444	-9%
2024 Q3	Chicago, IL	12%	2,177	-1%
2024 Q3	Cincinnati, OH	16%	974	-14%
2024 Q3	Cleveland, OH	22%	1,433	+7%
2024 Q3	Columbus, OH	15%	944	-8%
2024 Q3	Denver, CO	13%	1,276	-4%
