Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2022 Q3	Phoenix, AZ	27%	5,028	-46%
2022 Q3	Portland, OR	12%	786	-44%
2022 Q3	Providence, RI	8%	290	-6%
2022 Q3	Riverside, CA	17%	1,880	-36%
2022 Q3	Sacramento, CA	17%	1,173	-43%
2022 Q3	San Diego, CA	21%	1,565	-35%
2022 Q3	San Francisco, CA	21%	563	-29%
2022 Q3	San Jose, CA	15%	532	-30%
2022 Q3	Seattle, WA	10%	774	-26%
2022 Q3	Tampa, FL	25%	3,710	-32%
2022 Q3	Virginia Beach, VA	11%	968	-12%
2022 Q3	Warren, MI	8%	905	-1%
2022 Q3	Washington, DC	9%	1,450	-15%
2022 Q3	West Palm Beach, FL	19%	1,426	-10%
2022 Q2	National	21%	96,587	+7%
2022 Q2	Anaheim, CA	22%	1,635	-12%
2022 Q2	Atlanta, GA	33%	10,937	+22%
2022 Q2	Baltimore, MD	17%	2,163	+15%
2022 Q2	Charlotte, NC	29%	3,839	+8%
2022 Q2	Chicago, IL	11%	2,562	-17%
2022 Q2	Cincinnati, OH	20%	1,571	-10%
2022 Q2	Cleveland, OH	20%	1,619	+10%
2022 Q2	Columbus, OH	21%	1,692	+28%
2022 Q2	Denver, CO	17%	2,766	+15%
2022 Q2	Fort Lauderdale, FL	21%	2,615	+4%
2022 Q2	Jacksonville, FL	33%	3,397	+34%
2022 Q2	Las Vegas, NV	33%	4,170	+14%
2022 Q2	Los Angeles, CA	21%	4,004	-2%
2022 Q2	Miami, FL	33%	4,453	+15%
2022 Q2	Milwaukee, WI	16%	902	+3%
2022 Q2	Minneapolis, MN	12%	1,764	+1%
2022 Q2	Montgomery County, PA	9%	664	+21%
2022 Q2	Nashville, TN	24%	2,368	+11%
2022 Q2	New Brunswick, NJ	12%	1,195	+6%
2022 Q2	New York, NY	17%	2,734	+13%
2022 Q2	Newark, NJ	13%	971	+3%
2022 Q2	Oakland, CA	15%	1,244	-4%
2022 Q2	Orlando, FL	30%	4,286	+21%
2022 Q2	Philadelphia, PA	17%	1,387	+23%
2022 Q2	Phoenix, AZ	32%	8,790	+4%
2022 Q2	Portland, OR	12%	987	-11%
2022 Q2	Providence, RI	9%	326	+26%
2022 Q2	Riverside, CA	18%	2,829	-8%
2022 Q2	Sacramento, CA	19%	1,646	-11%
2022 Q2	San Diego, CA	22%	2,134	-5%
2022 Q2	San Francisco, CA	20%	739	-17%
2022 Q2	San Jose, CA	16%	739	-11%
2022 Q2	Seattle, WA	9%	894	-17%
2022 Q2	Tampa, FL	26%	5,156	+8%
2022 Q2	Virginia Beach, VA	12%	1,158	+19%
2022 Q2	Warren, MI	10%	1,046	-2%
2022 Q2	Washington, DC	9%	1,824	+7%
2022 Q2	West Palm Beach, FL	20%	2,062	+5%
2022 Q1	National	21%	85,703	+31%
2022 Q1	Anaheim, CA	21%	1,387	+5%
2022 Q1	Atlanta, GA	34%	9,385	+49%
2022 Q1	Baltimore, MD	18%	1,912	+35%
2022 Q1	Charlotte, NC	34%	3,686	+45%
2022 Q1	Chicago, IL	14%	2,989	+22%
2022 Q1	Cincinnati, OH	23%	1,386	+4%
2022 Q1	Cleveland, OH	23%	1,423	+25%
2022 Q1	Columbus, OH	26%	1,613	+57%
2022 Q1	Denver, CO	18%	1,972	+18%
2022 Q1	Fort Lauderdale, FL	23%	2,457	+36%
2022 Q1	Jacksonville, FL	34%	2,674	+59%
2022 Q1	Las Vegas, NV	28%	3,336	+28%
2022 Q1	Los Angeles, CA	21%	3,532	+20%
2022 Q1	Miami, FL	32%	3,628	+28%
2022 Q1	Milwaukee, WI	17%	684	+1%
2022 Q1	Minneapolis, MN	13%	1,352	+4%
2022 Q1	Montgomery County, PA	11%	702	+39%
2022 Q1	Nashville, TN	26%	1,946	+35%
2022 Q1	New Brunswick, NJ	12%	1,173	+9%
2022 Q1	New York, NY	17%	3,082	+57%
2022 Q1	Newark, NJ	14%	1,043	+25%
2022 Q1	Oakland, CA	14%	880	+14%
2022 Q1	Orlando, FL	30%	3,778	+52%
2022 Q1	Philadelphia, PA	19%	2,069	+109%
2022 Q1	Phoenix, AZ	30%	7,642	+37%
2022 Q1	Portland, OR	12%	791	+15%
2022 Q1	Providence, RI	8%	253	+37%
2022 Q1	Riverside, CA	18%	2,695	+19%
2022 Q1	Sacramento, CA	19%	1,396	+36%
2022 Q1	San Diego, CA	22%	1,785	+21%
2022 Q1	San Francisco, CA	20%	535	-1%
2022 Q1	San Jose, CA	15%	514	+3%
2022 Q1	Seattle, WA	11%	689	-9%
2022 Q1	Tampa, FL	26%	4,626	+35%
2022 Q1	Virginia Beach, VA	13%	1,052	+56%
2022 Q1	Warren, MI	11%	1,102	+11%
2022 Q1	Washington, DC	10%	1,586	+7%
2022 Q1	West Palm Beach, FL	20%	1,686	+30%
2021 Q4	National	20%	95,924	+53%
2021 Q4	Anaheim, CA	21%	1,672	+13%
2021 Q4	Atlanta, GA	38%	12,695	+128%
2021 Q4	Baltimore, MD	14%	1,867	+81%
2021 Q4	Charlotte, NC	34%	4,496	+96%
2021 Q4	Chicago, IL	12%	2,785	+15%
2021 Q4	Cincinnati, OH	18%	1,439	+41%
2021 Q4	Cleveland, OH	18%	1,434	+20%
2021 Q4	Columbus, OH	22%	1,978	+66%
2021 Q4	Denver, CO	17%	2,626	+46%
2021 Q4	Fort Lauderdale, FL	23%	2,570	+42%
2021 Q4	Jacksonville, FL	35%	3,275	+162%
2021 Q4	Las Vegas, NV	30%	3,967	+96%
2021 Q4	Los Angeles, CA	20%	4,047	+28%
2021 Q4	Miami, FL	32%	3,639	+61%
2021 Q4	Milwaukee, WI	14%	824	+8%
2021 Q4	Minneapolis, MN	12%	1,952	+48%
2021 Q4	Montgomery County, PA	9%	631	+12%
2021 Q4	Nashville, TN	25%	2,295	+71%
2021 Q4	New Brunswick, NJ	11%	1,188	+11%
2021 Q4	New York, NY	15%	2,631	+36%
2021 Q4	Newark, NJ	11%	876	+1%
2021 Q4	Oakland, CA	13%	1,055	+15%
2021 Q4	Orlando, FL	30%	4,166	+83%
2021 Q4	Philadelphia, PA	16%	1,331	+28%
2021 Q4	Phoenix, AZ	31%	8,555	+67%
2021 Q4	Portland, OR	14%	1,078	+47%
2021 Q4	Providence, RI	8%	347	+56%
2021 Q4	Riverside, CA	17%	2,865	+30%
2021 Q4	Sacramento, CA	19%	1,764	+39%
2021 Q4	San Diego, CA	21%	2,090	+13%
2021 Q4	San Francisco, CA	19%	711	+13%
2021 Q4	San Jose, CA	12%	572	+6%
2021 Q4	Seattle, WA	10%	870	+0%
2021 Q4	Tampa, FL	27%	5,222	+55%
2021 Q4	Virginia Beach, VA	11%	1,041	+49%
2021 Q4	Warren, MI	9%	956	+10%
2021 Q4	Washington, DC	8%	1,628	+11%
2021 Q4	West Palm Beach, FL	18%	1,584	+15%
2021 Q3	National	19%	100,750	+79%
2021 Q3	Anaheim, CA	19%	1,822	+20%
2021 Q3	Atlanta, GA	34%	12,782	+182%
2021 Q3	Baltimore, MD	14%	1,605	+99%
2021 Q3	Charlotte, NC	33%	4,728	+126%
2021 Q3	Chicago, IL	10%	3,212	+128%
2021 Q3	Cincinnati, OH	20%	1,732	+30%
2021 Q3	Cleveland, OH	17%	1,539	+24%
2021 Q3	Columbus, OH	19%	1,957	+78%
2021 Q3	Denver, CO	17%	2,959	+60%
2021 Q3	Fort Lauderdale, FL	21%	2,673	+84%
2021 Q3	Jacksonville, FL	30%	3,141	+143%
2021 Q3	Las Vegas, NV	29%	4,081	+149%
2021 Q3	Los Angeles, CA	19%	4,174	+27%
2021 Q3	Miami, FL	31%	4,282	+128%
2021 Q3	Milwaukee, WI	13%	921	+27%
2021 Q3	Minneapolis, MN	11%	2,062	+70%
2021 Q3	Montgomery County, PA	7%	671	+39%
2021 Q3	Nashville, TN	22%	2,348	+83%
2021 Q3	New Brunswick, NJ	9%	1,085	+6%
2021 Q3	New York, NY	13%	2,693	+90%
2021 Q3	Newark, NJ	10%	900	+21%
2021 Q3	Oakland, CA	13%	1,228	+33%
2021 Q3	Orlando, FL	27%	4,106	+123%
2021 Q3	Philadelphia, PA	13%	875	+7%
2021 Q3	Phoenix, AZ	32%	9,323	+121%
2021 Q3	Portland, OR	14%	1,416	+77%
2021 Q3	Providence, RI	7%	308	+34%
2021 Q3	Riverside, CA	16%	2,921	+44%
2021 Q3	Sacramento, CA	20%	2,052	+50%
2021 Q3	San Diego, CA	21%	2,415	+35%
2021 Q3	San Francisco, CA	20%	795	+26%
2021 Q3	San Jose, CA	14%	763	+21%
2021 Q3	Seattle, WA	9%	1,050	+33%
2021 Q3	Tampa, FL	26%	5,486	+88%
2021 Q3	Virginia Beach, VA	10%	1,101	+56%
2021 Q3	Warren, MI	8%	913	+9%
2021 Q3	Washington, DC	7%	1,708	+42%
2021 Q3	West Palm Beach, FL	18%	1,585	+6%
2021 Q2	National	17%	90,350	+145%
2021 Q2	Anaheim, CA	18%	1,849	+140%
2021 Q2	Atlanta, GA	25%	8,939	+192%
2021 Q2	Baltimore, MD	14%	1,889	+105%
2021 Q2	Charlotte, NC	25%	3,557	+175%
2021 Q2	Chicago, IL	11%	3,073	+223%
2021 Q2	Cincinnati, OH	19%	1,747	+84%
2021 Q2	Cleveland, OH	17%	1,477	+63%
2021 Q2	Columbus, OH	17%	1,323	+69%
2021 Q2	Denver, CO	14%	2,409	+112%
2021 Q2	Fort Lauderdale, FL	18%	2,506	+178%
2021 Q2	Jacksonville, FL	25%	2,544	+188%
2021 Q2	Las Vegas, NV	25%	3,654	+288%
2021 Q2	Los Angeles, CA	17%	4,100	+133%
2021 Q2	Miami, FL	28%	3,876	+150%
2021 Q2	Milwaukee, WI	14%	878	+98%
2021 Q2	Minneapolis, MN	11%	1,750	+88%
2021 Q2	Montgomery County, PA	8%	551	+73%
2021 Q2	Nashville, TN	20%	2,129	+138%
2021 Q2	New Brunswick, NJ	10%	1,131	+88%
2021 Q2	New York, NY	14%	2,429	+125%
2021 Q2	Newark, NJ	12%	941	+112%
2021 Q2	Oakland, CA	13%	1,301	+144%
2021 Q2	Orlando, FL	23%	3,534	+197%
2021 Q2	Philadelphia, PA	16%	1,132	+112%
2021 Q2	Phoenix, AZ	26%	8,436	+196%
2021 Q2	Portland, OR	11%	1,114	+132%
2021 Q2	Providence, RI	6%	259	+37%
2021 Q2	Riverside, CA	16%	3,082	+153%
2021 Q2	Sacramento, CA	17%	1,855	+155%
2021 Q2	San Diego, CA	19%	2,250	+120%
2021 Q2	San Francisco, CA	20%	891	+158%
2021 Q2	San Jose, CA	13%	835	+131%
2021 Q2	Seattle, WA	9%	1,079	+118%
2021 Q2	Tampa, FL	21%	4,784	+156%
2021 Q2	Virginia Beach, VA	10%	976	+83%
2021 Q2	Warren, MI	9%	1,072	+172%
2021 Q2	Washington, DC	7%	1,704	+59%
2021 Q2	West Palm Beach, FL	17%	1,956	+100%
2021 Q1	National	16%	65,251	+15%
2021 Q1	Anaheim, CA	17%	1,320	+23%
2021 Q1	Atlanta, GA	25%	6,301	+11%
2021 Q1	Baltimore, MD	13%	1,412	+14%
2021 Q1	Charlotte, NC	24%	2,541	+15%
2021 Q1	Chicago, IL	11%	2,456	+30%
2021 Q1	Cincinnati, OH	19%	1,328	+25%
2021 Q1	Cleveland, OH	20%	1,134	+14%
2021 Q1	Columbus, OH	18%	1,028	+14%
2021 Q1	Denver, CO	15%	1,666	+17%
2021 Q1	Fort Lauderdale, FL	17%	1,804	+14%
2021 Q1	Jacksonville, FL	26%	1,686	+24%
2021 Q1	Las Vegas, NV	22%	2,611	+27%
2021 Q1	Los Angeles, CA	17%	2,947	+11%
2021 Q1	Miami, FL	27%	2,841	+16%
2021 Q1	Milwaukee, WI	16%	678	+39%
2021 Q1	Minneapolis, MN	11%	1,297	+14%
2021 Q1	Montgomery County, PA	9%	505	+31%
2021 Q1	Nashville, TN	19%	1,444	+14%
2021 Q1	New Brunswick, NJ	10%	1,074	+23%
2021 Q1	New York, NY	12%	1,961	-15%
2021 Q1	Newark, NJ	11%	833	+7%
2021 Q1	Oakland, CA	12%	773	+29%
2021 Q1	Orlando, FL	21%	2,493	+2%
2021 Q1	Philadelphia, PA	17%	992	-4%
2021 Q1	Phoenix, AZ	22%	5,559	+12%
2021 Q1	Portland, OR	11%	689	+10%
2021 Q1	Providence, RI	6%	185	-2%
2021 Q1	Riverside, CA	16%	2,274	+27%
2021 Q1	Sacramento, CA	15%	1,028	+18%
2021 Q1	San Diego, CA	17%	1,478	+11%
2021 Q1	San Francisco, CA	18%	540	+19%
2021 Q1	San Jose, CA	13%	497	+46%
2021 Q1	Seattle, WA	11%	754	+23%
2021 Q1	Tampa, FL	20%	3,433	+16%
2021 Q1	Virginia Beach, VA	11%	676	+27%
2021 Q1	Warren, MI	10%	990	+26%
2021 Q1	Washington, DC	8%	1,479	+23%
2021 Q1	West Palm Beach, FL	16%	1,293	-12%
2020 Q4	National	14%	62,714	+0%
2020 Q4	Anaheim, CA	16%	1,482	+29%
2020 Q4	Atlanta, GA	19%	5,568	-13%
2020 Q4	Baltimore, MD	11%	1,033	-27%
2020 Q4	Charlotte, NC	19%	2,291	-8%
2020 Q4	Chicago, IL	9%	2,421	-12%
2020 Q4	Cincinnati, OH	15%	1,020	-16%
2020 Q4	Cleveland, OH	15%	1,199	-4%
2020 Q4	Columbus, OH	15%	1,193	+5%
2020 Q4	Denver, CO	12%	1,801	+1%
2020 Q4	Fort Lauderdale, FL	16%	1,811	+0%
2020 Q4	Jacksonville, FL	18%	1,248	-16%
2020 Q4	Las Vegas, NV	17%	2,024	-1%
2020 Q4	Los Angeles, CA	15%	3,151	+5%
2020 Q4	Miami, FL	23%	2,259	-7%
2020 Q4	Milwaukee, WI	12%	762	+43%
2020 Q4	Minneapolis, MN	8%	1,317	-7%
2020 Q4	Montgomery County, PA	7%	564	-2%
2020 Q4	Nashville, TN	14%	1,343	+0%
2020 Q4	New Brunswick, NJ	9%	1,069	+6%
2020 Q4	New York, NY	13%	1,935	-15%
2020 Q4	Newark, NJ	10%	871	+1%
2020 Q4	Oakland, CA	11%	917	+19%
2020 Q4	Orlando, FL	18%	2,281	-15%
2020 Q4	Philadelphia, PA	15%	1,039	+3%
2020 Q4	Phoenix, AZ	18%	5,129	+7%
2020 Q4	Portland, OR	9%	735	-19%
2020 Q4	Providence, RI	5%	223	-7%
2020 Q4	Riverside, CA	13%	2,207	+22%
2020 Q4	Sacramento, CA	13%	1,273	+16%
2020 Q4	San Diego, CA	17%	1,853	+34%
2020 Q4	San Francisco, CA	18%	627	+2%
2020 Q4	San Jose, CA	12%	542	+22%
2020 Q4	Seattle, WA	9%	869	+10%
2020 Q4	Tampa, FL	18%	3,372	+9%
2020 Q4	Virginia Beach, VA	9%	701	+21%
2020 Q4	Warren, MI	7%	867	+9%
2020 Q4	Washington, DC	8%	1,469	+3%
2020 Q4	West Palm Beach, FL	15%	1,381	+2%
2020 Q3	National	12%	56,366	-14%
2020 Q3	Anaheim, CA	16%	1,522	+25%
2020 Q3	Atlanta, GA	15%	4,530	-30%
2020 Q3	Baltimore, MD	10%	805	-35%
2020 Q3	Charlotte, NC	16%	2,092	-18%
2020 Q3	Chicago, IL	8%	1,410	-43%
2020 Q3	Cincinnati, OH	14%	1,330	+4%
2020 Q3	Cleveland, OH	14%	1,240	+1%
2020 Q3	Columbus, OH	13%	1,097	-7%
2020 Q3	Denver, CO	10%	1,851	-11%
2020 Q3	Fort Lauderdale, FL	14%	1,455	-10%
2020 Q3	Jacksonville, FL	15%	1,290	-25%
2020 Q3	Las Vegas, NV	15%	1,642	-26%
2020 Q3	Los Angeles, CA	17%	3,284	+1%
2020 Q3	Miami, FL	22%	1,875	-22%
2020 Q3	Milwaukee, WI	11%	726	+24%
2020 Q3	Minneapolis, MN	7%	1,210	-22%
2020 Q3	Montgomery County, PA	6%	482	-12%
2020 Q3	Nashville, TN	13%	1,281	-24%
2020 Q3	New Brunswick, NJ	9%	1,027	-5%
2020 Q3	New York, NY	13%	1,420	-41%
2020 Q3	Newark, NJ	10%	743	-4%
2020 Q3	Oakland, CA	11%	926	+6%
2020 Q3	Orlando, FL	14%	1,840	-30%
2020 Q3	Philadelphia, PA	13%	815	-21%
2020 Q3	Phoenix, AZ	16%	4,221	-22%
2020 Q3	Portland, OR	9%	802	-11%
2020 Q3	Providence, RI	5%	230	-23%
2020 Q3	Riverside, CA	12%	2,026	+11%
2020 Q3	Sacramento, CA	13%	1,364	+20%
2020 Q3	San Diego, CA	16%	1,795	+14%
2020 Q3	San Francisco, CA	21%	633	+16%
2020 Q3	San Jose, CA	14%	629	+23%
2020 Q3	Seattle, WA	8%	788	-5%
2020 Q3	Tampa, FL	15%	2,916	-9%
2020 Q3	Virginia Beach, VA	7%	707	+31%
2020 Q3	Warren, MI	6%	839	-13%
2020 Q3	Washington, DC	6%	1,205	-13%
2020 Q3	West Palm Beach, FL	15%	1,500	+13%
2020 Q2	National	12%	36,840	-43%
2020 Q2	Anaheim, CA	15%	769	-42%
2020 Q2	Atlanta, GA	14%	3,064	-52%
2020 Q2	Baltimore, MD	11%	920	-27%
2020 Q2	Charlotte, NC	13%	1,295	-43%
2020 Q2	Chicago, IL	8%	950	-59%
2020 Q2	Cincinnati, OH	13%	948	-16%
2020 Q2	Cleveland, OH	13%	908	-25%
2020 Q2	Columbus, OH	12%	785	-33%
2020 Q2	Denver, CO	10%	1,136	-43%
2020 Q2	Fort Lauderdale, FL	14%	903	-51%
2020 Q2	Jacksonville, FL	14%	883	-42%
2020 Q2	Las Vegas, NV	13%	942	-58%
2020 Q2	Los Angeles, CA	15%	1,760	-47%
2020 Q2	Miami, FL	24%	1,552	-34%
2020 Q2	Milwaukee, WI	10%	443	-13%
2020 Q2	Minneapolis, MN	8%	932	-23%
2020 Q2	Montgomery County, PA	6%	319	-35%
2020 Q2	Nashville, TN	11%	893	-37%
2020 Q2	New Brunswick, NJ	8%	602	-35%
2020 Q2	New York, NY	14%	1,080	-56%
2020 Q2	Newark, NJ	9%	444	-40%
2020 Q2	Oakland, CA	11%	533	-41%
2020 Q2	Orlando, FL	13%	1,191	-52%
2020 Q2	Philadelphia, PA	13%	533	-45%
2020 Q2	Phoenix, AZ	14%	2,854	-49%
2020 Q2	Portland, OR	8%	480	-46%
2020 Q2	Providence, RI	6%	189	-28%
2020 Q2	Riverside, CA	11%	1,219	-42%
2020 Q2	Sacramento, CA	11%	727	-35%
2020 Q2	San Diego, CA	14%	1,024	-37%
2020 Q2	San Francisco, CA	19%	346	-49%
2020 Q2	San Jose, CA	13%	361	-41%
2020 Q2	Seattle, WA	7%	496	-45%
2020 Q2	Tampa, FL	13%	1,871	-43%
2020 Q2	Virginia Beach, VA	8%	534	-6%
2020 Q2	Warren, MI	6%	394	-55%
2020 Q2	Washington, DC	6%	1,069	-25%
2020 Q2	West Palm Beach, FL	14%	977	-42%
2020 Q1	National	17%	56,807	+11%
2020 Q1	Anaheim, CA	17%	1,075	+28%
2020 Q1	Atlanta, GA	26%	5,654	+18%
2020 Q1	Baltimore, MD	16%	1,239	+0%
2020 Q1	Charlotte, NC	24%	2,215	+27%
2020 Q1	Chicago, IL	14%	1,893	+11%
2020 Q1	Cincinnati, OH	18%	1,061	+17%
2020 Q1	Cleveland, OH	18%	993	+5%
2020 Q1	Columbus, OH	16%	898	+6%
2020 Q1	Denver, CO	14%	1,429	-2%
2020 Q1	Fort Lauderdale, FL	19%	1,580	+5%
2020 Q1	Jacksonville, FL	22%	1,361	+14%
2020 Q1	Las Vegas, NV	21%	2,055	+15%
2020 Q1	Los Angeles, CA	18%	2,656	+9%
2020 Q1	Miami, FL	29%	2,451	+5%
2020 Q1	Milwaukee, WI	14%	489	+29%
2020 Q1	Minneapolis, MN	11%	1,138	+23%
2020 Q1	Montgomery County, PA	10%	386	-2%
2020 Q1	Nashville, TN	18%	1,263	+14%
2020 Q1	New Brunswick, NJ	12%	870	+5%
2020 Q1	New York, NY	18%	2,311	+2%
2020 Q1	Newark, NJ	15%	780	+22%
2020 Q1	Oakland, CA	13%	601	+5%
2020 Q1	Orlando, FL	24%	2,454	+14%
2020 Q1	Philadelphia, PA	19%	1,029	+27%
2020 Q1	Phoenix, AZ	22%	4,964	+11%
2020 Q1	Portland, OR	11%	629	+0%
2020 Q1	Providence, RI	7%	188	+11%
2020 Q1	Riverside, CA	14%	1,788	+14%
2020 Q1	Sacramento, CA	14%	873	+5%
2020 Q1	San Diego, CA	17%	1,336	+9%
2020 Q1	San Francisco, CA	22%	453	+6%
2020 Q1	San Jose, CA	13%	340	-9%
2020 Q1	Seattle, WA	10%	611	+1%
2020 Q1	Tampa, FL	20%	2,948	+6%
2020 Q1	Virginia Beach, VA	10%	533	+16%
2020 Q1	Warren, MI	9%	785	+17%
2020 Q1	Washington, DC	9%	1,204	+10%
2020 Q1	West Palm Beach, FL	18%	1,476	+8%
2019 Q4	National	16%	63,004	+8%
2019 Q4	Anaheim, CA	16%	1,145	+4%
2019 Q4	Atlanta, GA	24%	6,418	+17%
2019 Q4	Baltimore, MD	15%	1,407	+26%
2019 Q4	Charlotte, NC	23%	2,502	+25%
2019 Q4	Chicago, IL	15%	2,759	-6%
2019 Q4	Cincinnati, OH	16%	1,208	+20%
2019 Q4	Cleveland, OH	17%	1,245	+16%
2019 Q4	Columbus, OH	15%	1,133	+11%
2019 Q4	Denver, CO	14%	1,790	+27%
2019 Q4	Fort Lauderdale, FL	20%	1,808	+1%
2019 Q4	Jacksonville, FL	23%	1,480	+18%
2019 Q4	Las Vegas, NV	21%	2,047	+3%
2019 Q4	Los Angeles, CA	17%	3,006	+9%
2019 Q4	Miami, FL	30%	2,436	+2%
2019 Q4	Milwaukee, WI	12%	534	+3%
2019 Q4	Minneapolis, MN	10%	1,410	+6%
2019 Q4	Montgomery County, PA	9%	573	+18%
2019 Q4	Nashville, TN	17%	1,348	+2%
2019 Q4	New Brunswick, NJ	11%	1,010	+14%
2019 Q4	New York, NY	17%	2,284	-11%
2019 Q4	Newark, NJ	14%	862	+10%
2019 Q4	Oakland, CA	12%	771	+6%
2019 Q4	Orlando, FL	24%	2,685	+8%
2019 Q4	Philadelphia, PA	17%	1,009	+3%
2019 Q4	Phoenix, AZ	21%	4,779	+3%
2019 Q4	Portland, OR	11%	909	+31%
2019 Q4	Providence, RI	6%	240	+21%
2019 Q4	Riverside, CA	13%	1,811	+5%
2019 Q4	Sacramento, CA	15%	1,094	+14%
2019 Q4	San Diego, CA	17%	1,386	+3%
2019 Q4	San Francisco, CA	21%	615	+6%
2019 Q4	San Jose, CA	13%	443	+4%
2019 Q4	Seattle, WA	8%	791	+12%
2019 Q4	Tampa, FL	19%	3,097	+0%
2019 Q4	Virginia Beach, VA	9%	579	+6%
2019 Q4	Warren, MI	8%	794	-3%
2019 Q4	Washington, DC	9%	1,426	+19%
2019 Q4	West Palm Beach, FL	17%	1,356	-6%
2019 Q3	National	14%	65,398	+3%
2019 Q3	Anaheim, CA	15%	1,218	-2%
2019 Q3	Atlanta, GA	22%	6,433	+4%
2019 Q3	Baltimore, MD	12%	1,236	+11%
2019 Q3	Charlotte, NC	22%	2,542	+16%
2019 Q3	Chicago, IL	11%	2,491	-9%
2019 Q3	Cincinnati, OH	14%	1,276	+1%
2019 Q3	Cleveland, OH	14%	1,224	+14%
2019 Q3	Columbus, OH	13%	1,181	+4%
2019 Q3	Denver, CO	13%	2,069	+16%
2019 Q3	Fort Lauderdale, FL	16%	1,613	-9%
2019 Q3	Jacksonville, FL	21%	1,724	+27%
2019 Q3	Las Vegas, NV	19%	2,210	+0%
2019 Q3	Los Angeles, CA	17%	3,256	-1%
2019 Q3	Miami, FL	26%	2,404	-17%
2019 Q3	Milwaukee, WI	10%	586	+8%
2019 Q3	Minneapolis, MN	9%	1,561	+18%
2019 Q3	Montgomery County, PA	6%	550	+10%
2019 Q3	Nashville, TN	17%	1,681	+21%
2019 Q3	New Brunswick, NJ	10%	1,082	+20%
2019 Q3	New York, NY	15%	2,421	-10%
2019 Q3	Newark, NJ	10%	770	+3%
2019 Q3	Oakland, CA	12%	872	+2%
2019 Q3	Orlando, FL	21%	2,641	+0%
2019 Q3	Philadelphia, PA	14%	1,030	+14%
2019 Q3	Phoenix, AZ	19%	5,394	+10%
2019 Q3	Portland, OR	9%	906	-6%
2019 Q3	Providence, RI	7%	300	+26%
2019 Q3	Riverside, CA	12%	1,832	+0%
2019 Q3	Sacramento, CA	13%	1,138	+3%
2019 Q3	San Diego, CA	16%	1,572	-2%
2019 Q3	San Francisco, CA	20%	545	+8%
2019 Q3	San Jose, CA	13%	510	-2%
2019 Q3	Seattle, WA	7%	829	-18%
2019 Q3	Tampa, FL	18%	3,188	+0%
2019 Q3	Virginia Beach, VA	7%	540	+3%
2019 Q3	Warren, MI	8%	965	+4%
2019 Q3	Washington, DC	8%	1,381	+4%
2019 Q3	West Palm Beach, FL	15%	1,327	-7%
2019 Q2	National	14%	64,901	-4%
2019 Q2	Anaheim, CA	16%	1,330	-9%
2019 Q2	Atlanta, GA	20%	6,319	+9%
2019 Q2	Baltimore, MD	11%	1,265	+4%
2019 Q2	Charlotte, NC	19%	2,283	+12%
2019 Q2	Chicago, IL	10%	2,328	-11%
2019 Q2	Cincinnati, OH	13%	1,134	+8%
2019 Q2	Cleveland, OH	14%	1,205	+17%
2019 Q2	Columbus, OH	13%	1,164	+13%
2019 Q2	Denver, CO	12%	1,998	+11%
2019 Q2	Fort Lauderdale, FL	17%	1,845	-8%
2019 Q2	Jacksonville, FL	18%	1,511	+15%
2019 Q2	Las Vegas, NV	18%	2,223	-5%
2019 Q2	Los Angeles, CA	17%	3,335	-10%
2019 Q2	Miami, FL	27%	2,365	-29%
2019 Q2	Milwaukee, WI	10%	509	+1%
2019 Q2	Minneapolis, MN	9%	1,218	-2%
2019 Q2	Montgomery County, PA	7%	494	+1%
2019 Q2	Nashville, TN	14%	1,423	+19%
2019 Q2	New Brunswick, NJ	10%	931	-1%
2019 Q2	New York, NY	18%	2,452	-8%
2019 Q2	Newark, NJ	12%	746	-2%
2019 Q2	Oakland, CA	11%	905	-14%
2019 Q2	Orlando, FL	19%	2,498	-6%
2019 Q2	Philadelphia, PA	14%	962	-6%
2019 Q2	Phoenix, AZ	18%	5,610	-16%
2019 Q2	Portland, OR	9%	891	-9%
2019 Q2	Providence, RI	6%	264	+14%
2019 Q2	Riverside, CA	13%	2,096	-3%
2019 Q2	Sacramento, CA	12%	1,120	-8%
2019 Q2	San Diego, CA	16%	1,624	-12%
2019 Q2	San Francisco, CA	20%	678	-3%
2019 Q2	San Jose, CA	14%	613	-8%
2019 Q2	Seattle, WA	7%	902	-21%
2019 Q2	Tampa, FL	17%	3,257	-1%
2019 Q2	Virginia Beach, VA	7%	566	+9%
2019 Q2	Warren, MI	8%	879	-6%
2019 Q2	Washington, DC	7%	1,423	-3%
2019 Q2	West Palm Beach, FL	16%	1,676	-3%
2019 Q1	National	16%	51,280	-7%
2019 Q1	Anaheim, CA	16%	838	-25%
2019 Q1	Atlanta, GA	23%	4,777	-3%
2019 Q1	Baltimore, MD	16%	1,242	+39%
2019 Q1	Charlotte, NC	22%	1,748	+14%
2019 Q1	Chicago, IL	13%	1,708	-23%
2019 Q1	Cincinnati, OH	16%	908	+10%
2019 Q1	Cleveland, OH	18%	950	+28%
2019 Q1	Columbus, OH	15%	845	+0%
2019 Q1	Denver, CO	14%	1,459	+1%
2019 Q1	Fort Lauderdale, FL	19%	1,510	-14%
2019 Q1	Jacksonville, FL	21%	1,195	+21%
2019 Q1	Las Vegas, NV	20%	1,793	-16%
2019 Q1	Los Angeles, CA	18%	2,428	-23%
2019 Q1	Miami, FL	31%	2,333	-11%
