month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
201607,67732,"brewster, ks",28000.0,,,1,,,78.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,22.0,,,1296.0,,,28000.0,,,1,,,,,,
201607,30173,"silver creek, ga",173900.0,,,21,,,67.0,,,8,,,0,,,0.0,,,4.0,,,0.1379,,,2.0,,,82.0,,,2023.0,,,214847.0,,,24,,,0.0952,,,
201607,17566,"quarryville, pa",293900.0,,,43,,,52.0,,,8,,,0,,,0.0,,,4.0,,,0.0678,,,9.0,,,149.0,,,2031.0,,,311260.0,,,51,,,0.2093,,,
201607,14619,"rochester, ny",54900.0,,,28,,,39.0,,,16,,,0,,,0.0,,,4.0,,,0.1143,,,,,,43.0,,,1344.0,,,57053.0,,,28,,,,,,
201607,25976,"meadow bridge, wv",169000.0,,,10,,,71.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,77.0,,,1832.0,,,208109.0,,,10,,,,,,
201607,53901,"portage, wi",156950.0,,,83,,,73.0,,,20,,,4,,,0.0282,,,36.0,,,0.2813,,,37.0,,,86.0,,,1740.0,,,238543.0,,,120,,,0.4458,,,
201607,61467,"oneida, il",159000.0,,,3,,,39.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,62.0,,,1904.0,,,138833.0,,,3,,,,,,
201607,08092,,294900.0,,,45,,,89.0,,,4,,,0,,,0.0,,,8.0,,,0.1404,,,8.0,,,142.0,,,2022.0,,,327158.0,,,53,,,0.1778,,,
201607,21075,"elkridge, md",348990.0,,,109,,,40.0,,,56,,,4,,,0.0204,,,40.0,,,0.2095,,,29.0,,,183.0,,,1824.0,,,360023.0,,,136,,,0.2661,,,
201607,48731,"elkton, mi",69950.0,,,10,,,122.0,,,0,,,0,,,0.0,,,4.0,,,0.3333,,,,,,46.0,,,1275.0,,,91746.0,,,10,,,,,,
