year,county_geoid,county_name,total_jobs,resident_workers,pressure_ratio
2021,12131,Walton County,31119,29378,1.0592620328136702
2021,12133,Washington County,5858,9262,0.6324767868710861
2022,12001,Alachua County,135354,105825,1.2790361445783132
2022,12003,Baker County,7127,10712,0.6653286034353996
2022,12005,Bay County,76306,71712,1.064061802766622
2022,12007,Bradford County,6042,10737,0.5627270187203129
2022,12009,Brevard County,231330,255432,0.905642206144884
2022,12011,Broward County,870923,872807,0.9978414471927929
2022,12013,Calhoun County,2899,5090,0.5695481335952849
2022,12015,Charlotte County,55354,64459,0.8587474208411549
2022,12017,Citrus County,33320,48617,0.6853569738980192
2022,12019,Clay County,57385,97612,0.5878887841658812
2022,12021,Collier County,157712,158729,0.9935928532278285
2022,12023,Columbia County,24181,28332,0.8534872229281378
2022,12027,DeSoto County,9291,12421,0.7480074068110458
2022,12029,Dixie County,2749,5677,0.48423463096706004
2022,12031,Duval County,582538,462421,1.2597568017023448
2022,12033,Escambia County,157450,128651,1.2238536816659022
2022,12035,Flagler County,26752,44772,0.597516304833378
2022,12037,Franklin County,3479,4217,0.8249940716148921
2022,12039,Gadsden County,19139,17145,1.1163021289005541
2022,12041,Gilchrist County,3455,7513,0.45986955943032076
2022,12043,Glades County,2367,4060,0.5830049261083744
2022,12045,Gulf County,4158,5467,0.7605633802816901
2022,12047,Hamilton County,2545,4318,0.5893932376100046
2022,12049,Hardee County,7202,9853,0.7309448898812544
2022,12051,Hendry County,11613,15598,0.7445185280164124
2022,12053,Hernando County,49463,73965,0.6687352126005544
2022,12055,Highlands County,27652,37903,0.729546473893887
2022,12057,Hillsborough County,789865,679834,1.1618498045111012
2022,12059,Holmes County,3883,7314,0.5308996445173639
2022,12061,Indian River County,54709,64127,0.8531351848675285
2022,12063,Jackson County,14157,16896,0.837890625
2022,12065,Jefferson County,2595,5765,0.45013009540329574
2022,12067,Lafayette County,1347,2944,0.45754076086956524
2022,12069,Lake County,114677,166041,0.6906547178106612
2022,12071,Lee County,284950,309102,0.9218639801748291
2022,12073,Leon County,162307,120240,1.349858616101131
2022,12075,Levy County,9178,16437,0.5583743992212691
2022,12077,Liberty County,2008,3031,0.6624876278455956
2022,12079,Madison County,4680,6440,0.7267080745341615
2022,12081,Manatee County,137323,173010,0.7937286862031097
2022,12083,Marion County,111517,137412,0.8115521206299304
2022,12085,Martin County,74655,65671,1.1368031551217432
2022,12086,Miami-Dade County,1193100,1124578,1.0609313004522585
2022,12087,Monroe County,40094,42123,0.9518315409633692
2022,12089,Nassau County,25337,41841,0.6055543605554361
2022,12091,Okaloosa County,89409,81005,1.1037466823035615
2022,12093,Okeechobee County,10908,14645,0.7448275862068966
2022,12095,Orange County,958615,670410,1.429893647171134
2022,12097,Osceola County,111029,191437,0.579976702518322
2022,12099,Palm Beach County,655730,616193,1.064163338434549
2022,12101,Pasco County,138389,240767,0.5747839197232179
2022,12103,Pinellas County,484609,439665,1.102223283636405
2022,12105,Polk County,269911,327089,0.8251913087875166
2022,12107,Putnam County,17565,27604,0.6363208230691204
2022,12109,St. Johns County,90457,123341,0.7333895460552452
2022,12111,St. Lucie County,86137,136983,0.6288152544476322
2022,12113,Santa Rosa County,44472,75213,0.5912807626341191
2022,12115,Sarasota County,186359,166794,1.117300382507764
2022,12117,Seminole County,221011,227373,0.9720195449767562
2022,12119,Sumter County,35305,31503,1.120686918706155
2022,12121,Suwannee County,10436,15302,0.6820023526336426
2022,12123,Taylor County,5968,7602,0.7850565640620889
2022,12125,Union County,2691,5774,0.4660547280914444
2022,12127,Volusia County,180240,239739,0.7518176016417855
