tract_geoid,total_jobs,resident_workers,pressure_ratio
12001000201,1237,1068,1.158239700374532
12001000202,974,961,1.0135275754422477
12001000301,2507,1489,1.6836803223640027
12001000302,2376,1214,1.957166392092257
12001000400,2080,2322,0.8957795004306632
12001000500,13913,2175,6.396781609195402
12001000600,708,1684,0.42042755344418054
12001000700,1968,2655,0.7412429378531074
12001000806,598,873,0.6849942726231386
12001000808,253,1556,0.16259640102827763
12001000809,4290,454,9.449339207048459
12001000901,46,426,0.107981220657277
12001000902,11450,797,14.366373902132999
12001001000,1678,2198,0.7634212920837125
12001001100,2668,2724,0.9794419970631424
12001001201,1966,1258,1.562798092209857
12001001202,560,3545,0.15796897038081806
12001001203,17541,1631,10.754751686082159
12001001400,545,1239,0.43987086359967714
12001001514,317,654,0.4847094801223242
12001001515,846,1896,0.4462025316455696
12001001516,27,966,0.027950310559006212
12001001517,763,2057,0.3709285367039378
12001001519,1640,748,2.192513368983957
12001001522,4269,2866,1.4895324494068387
12001001605,6152,3351,1.8358698895851984
12001001701,4319,2850,1.515438596491228
12001001702,6543,2318,2.8226919758412423
12001001802,2217,1274,1.7401883830455258
12001001803,1483,2679,0.5535647629712579
12001001811,2316,2752,0.8415697674418605
12001001813,526,1874,0.28068303094983993
12001001815,173,874,0.19794050343249428
12001001816,2228,2712,0.8215339233038348
12001001817,3066,1895,1.6179419525065963
12001001818,995,2439,0.40795407954079543
12001001819,5319,2264,2.349381625441696
12001001902,3086,1063,2.90310442144873
12001001907,992,1043,0.9511025886864813
12001001908,2524,2001,1.2613693153423289
12001002001,151,670,0.2253731343283582
12001002002,589,1419,0.41508104298801973
12001002101,646,723,0.8934993084370678
12001002102,158,394,0.4010152284263959
12001002201,2055,2796,0.7349785407725322
12001002202,3186,3283,0.9704538531830643
12001002204,3207,5538,0.5790899241603467
12001002207,1422,1781,0.79842784952274
12001002208,484,1471,0.32902787219578516
12001002209,1301,3841,0.3387138765946368
12001002210,869,2433,0.35717221537196875
12001002217,1345,2394,0.5618212197159566
12001002218,315,1249,0.2522017614091273
12001002219,2728,2704,1.0088757396449703
12001002220,1442,1231,1.1714053614947197
12001002221,793,2506,0.3164405426975259
12001002222,949,3016,0.3146551724137931
12001110800,922,758,1.2163588390501319
12003040101,2703,2918,0.9263193968471556
12003040102,3338,3001,1.1122959013662113
12003040201,458,2573,0.17800233190827827
12003040202,489,2426,0.2015663643858203
12005000201,1433,2593,0.5526417277284998
12005000203,444,1285,0.34552529182879377
12005000204,522,1555,0.3356913183279743
12005000301,94,932,0.10085836909871244
12005000302,995,2599,0.3828395536744902
12005000401,68,939,0.0724174653887114
12005000402,414,2728,0.15175953079178886
12005000500,1126,3345,0.33662182361733933
12005000600,331,305,1.0852459016393443
12005000700,1054,79,13.341772151898734
12005000803,1721,2054,0.8378773125608568
12005000804,88,979,0.0898876404494382
12005000805,264,1903,0.13872832369942195
12005000806,185,1516,0.12203166226912929
12005000900,785,1596,0.4918546365914787
12005001000,694,827,0.8391777509068924
12005001100,478,1830,0.2612021857923497
12005001200,1203,1173,1.0255754475703325
12005001301,2503,2706,0.9249815225424981
12005001302,3762,2891,1.3012798339674854
12005001402,1122,3195,0.3511737089201878
12005001403,917,939,0.9765708200212992
12005001404,2514,3034,0.8286090969017799
12005001501,2108,2455,0.8586558044806517
12005001502,9662,2385,4.051153039832285
12005001600,6023,1153,5.223764093668691
12005001700,292,1322,0.22087745839636913
12005001800,1301,606,2.1468646864686467
12005001900,350,1655,0.21148036253776434
12005002000,5338,658,8.112462006079028
12005002200,5886,1927,3.054488842760768
12005002300,1254,1645,0.7623100303951368
12005002400,1833,1646,1.1136087484811665
12005002500,1067,1248,0.8549679487179487
12005002604,1174,3084,0.38067444876783396
12005002605,556,546,1.0183150183150182
12005002606,234,698,0.335243553008596
12005002607,485,596,0.8137583892617449
12005002608,1408,1220,1.1540983606557378
12005002609,2942,2131,1.3805725011731582
12005002703,4344,1430,3.0377622377622377
12005002706,506,1199,0.42201834862385323
12005002707,423,873,0.4845360824742268
12005002708,203,325,0.6246153846153846
12005002709,1942,1139,1.7050043898156277
12005002710,2314,2270,1.0193832599118944
12005002711,1597,1351,1.1820873427091043
12005002712,827,902,0.9168514412416852
12005002713,2557,425,6.016470588235294
12007000100,1921,2313,0.8305231301340251
12007000201,1164,1627,0.7154271665642287
12007000202,1060,1633,0.6491120636864667
12007000301,967,1789,0.5405254332029067
12007000302,311,1400,0.22214285714285714
12007000400,425,1871,0.22715125601282737
12009060103,248,1283,0.19329696024941542
12009060104,33,505,0.06534653465346535
12009060105,403,1163,0.34651762682717113
12009060106,139,705,0.1971631205673759
12009060201,150,1275,0.11764705882352941
12009060202,88,1507,0.058394160583941604
12009060301,95,1008,0.09424603174603174
12009060302,716,1184,0.6047297297297297
12009060400,2422,1798,1.347052280311457
12009060500,690,2219,0.3109508787742226
12009060600,1393,2396,0.5813856427378965
12009060700,536,1413,0.37933474876150036
12009061001,445,2458,0.18104149715215623
12009061002,441,1614,0.2732342007434944
12009061100,1141,2668,0.42766116941529236
12009061201,1402,3666,0.38243316966721225
12009061202,3653,1822,2.004939626783754
12009062106,925,1593,0.5806654111738857
12009062108,235,3324,0.07069795427196149
12009062109,242,2046,0.11827956989247312
12009062110,54,1782,0.030303030303030304
12009062111,97,1758,0.055176336746302616
12009062112,1183,695,1.702158273381295
12009062113,1985,2667,0.7442819647544057
12009062114,354,1027,0.34469328140214217
12009062115,161,831,0.19374247894103488
12009062301,498,1610,0.3093167701863354
12009062302,784,1510,0.519205298013245
12009062401,1995,922,2.163774403470716
12009062402,258,2368,0.1089527027027027
12009062500,4452,1945,2.2889460154241643
12009062600,757,1401,0.5403283369022127
