month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202602,12033,"escambia, fl",328350,0.0103,-0.0047,1632,0.0028,-0.114,82,-0.0866,-0.003,596,0.0068,-0.1024,44,-0.1538,-0.4054,0.0152,-0.0032,-0.0085,504,-0.1127,-0.2738,0.1768,-0.0239,-0.0462,635,0.2004,0.116,195,0.0073,0.0022,1626,0.0012,-0.0021,479433,0.0207,-0.0359,2276,0.0586,-0.0546,0.3892,0.0641,0.0802,0
202602,12005,"bay, fl",399900,-0.0002,-0.0467,2631,0.0528,0.0075,94,-0.1132,0,806,0.1133,0.1449,70,0.9444,1.1875,0.0182,0.0082,0.0099,742,0.0661,-0.1188,0.1866,0.003,-0.0341,576,0.2743,0.3633,306,-0.1565,-0.0382,1418,-0.039,-0.0025,564037,0.0245,-0.0147,3200,0.087,0.0591,0.2189,0.0381,0.0571,0
202602,12131,"walton, fl",849000,0,-0.0668,2245,0.0592,0.0552,98,-0.1228,-0.0643,624,0.3333,0.1685,48,1.4,1,0.0141,0.0075,0.0065,474,0.0128,0.1394,0.1391,-0.0141,0.0024,466,0.2581,0.022,513,-0.0127,-0.0921,1961,0.0014,-0.0153,1584219,-0.0159,-0.0188,2708,0.0891,0.0488,0.2074,0.0328,-0.0068,0
202602,12115,"sarasota, fl",499000,0.0087,0.0506,5535,0.0184,-0.1115,82,0.0062,0.2937,1710,0.0252,-0.1747,38,-0.1364,-0.1364,0.0042,-0.001,-0.0004,2100,0.0915,-0.2632,0.2391,0.0126,-0.0512,1765,0.4322,0.1597,284,0.0057,-0.0035,1705,0.0072,0.0111,1083003,0.0373,0.1955,7290,0.0937,-0.0594,0.3188,0.0921,0.0745,0
202602,12047,"hamilton, fl",258000,0.0157,-0.0039,31,0.069,-0.3404,109,-0.2004,-0.0158,16,3,1.6667,0,,,0,0,0,6,0.5,-0.4,0.1019,0.0089,-0.0511,9,0.125,0.125,170,-0.1142,-0.0076,1750,0,0.1574,400466,-0.0445,0.1933,41,0.0946,-0.2636,0.2903,0.0145,0.1201,1
202602,12105,"polk, fl",335000,0,-0.0147,4636,0.0176,-0.0833,87,-0.0495,0.0679,1398,-0.0292,-0.1273,138,0.3269,-0.3365,0.018,0.0015,-0.007,1658,0.0937,-0.2545,0.2146,0.0128,-0.0561,1646,0.2936,0.0249,189,-0.003,-0.0296,1815,-0.0011,-0.0011,385154,0.0017,-0.0083,6289,0.0796,-0.056,0.3549,0.0757,0.0375,0
202602,12075,"levy, fl",364925,-0.023,0.0436,259,0.0157,0.1212,100,-0.0409,0.2391,40,-0.2857,-0.3939,0,-1,,0,-0.011,0,82,0.2059,0.3667,0.2385,0.0306,0.0664,48,0.3333,0.2468,212,-0.0029,-0.0734,1789,0.0055,0.2096,476262,-0.0026,0.0216,304,0.0447,0.1301,0.1853,0.0442,0.0187,0
202602,12055,"highlands, fl",299950,0.0002,-0.0212,888,0.0641,0.0622,74,-0.125,-0.0392,244,-0.0161,-0.0758,6,-0.25,-0.5714,0.0046,-0.0017,-0.006,262,0.0077,-0.1438,0.2011,-0.0007,-0.0331,189,0.2194,-0.129,157,0.0051,-0.1889,2034,0.002,0.2927,344925,-0.0015,-0.026,1074,0.0876,0.0214,0.213,0.0271,-0.0468,0
202602,12003,"baker, fl",418500,0.0464,0.3078,56,-0.0263,-0.26,76,-0.0411,-0.0381,28,1.3333,0.2727,0,,,0,0,0,24,0.5,0.0909,0.2043,0.0161,0.0133,31,0.8235,0.7222,213,0.0035,0.025,1935,-0.001,0.0997,497502,0.0312,0.2536,88,0.1513,-0.0489,0.5586,0.2603,0.3186,0
202602,12049,"hardee, fl",338900,-0.0314,-0.0048,55,0.1122,-0.0091,99,0.0155,0.1387,12,0.5,-0.3333,0,,,0,0,0,10,-0.1667,-0.2857,0.1138,-0.0737,-0.0423,11,-0.125,-0.5227,169,0.0093,-0.1608,2149,0.0578,0.2682,468754,0.005,0.0601,65,0.0656,-0.1156,0.1927,-0.0522,-0.2073,0
202602,12043,"glades, fl",325000,-0.0438,-0.0475,79,0.0329,0.2869,92,0.1614,0.0027,10,-0.5833,-0.1667,2,,,0.0215,0.0215,0.0215,20,0.6667,0.6667,0.2186,0.0807,0.0769,6,-0.25,-0.5385,227,0,0.027,1541,-0.0048,-0.0109,405855,-0.0177,0.0715,85,0.0181,0.1497,0.0764,-0.0288,-0.1367,0
202602,12097,"osceola, fl",419950,0.0001,-0.0174,3948,0.006,-0.0223,96,-0.045,0.1302,1006,-0.0473,-0.1222,84,0.1053,-0.087,0.014,0.0011,-0.0006,1082,0.0093,-0.1131,0.1801,-0.0014,-0.0172,1086,0.1908,0.0569,214,-0.0067,-0.0475,1914,0,0.0087,506153,0.0001,-0.0187,5046,0.0448,-0.003,0.2751,0.0427,0.0206,0
202602,12059,"holmes, fl",252500,-0.0472,-0.0241,46,0.0952,-0.1858,101,0.1167,-0.078,10,-0.1667,0,0,,-1,0,0,-0.0267,12,0,-0.3333,0.1792,-0.0083,-0.0362,9,-0.3929,-0.3929,161,-0.0371,-0.0213,1543,-0.119,-0.0832,314586,-0.1074,-0.0118,55,0.0481,-0.2324,0.1848,-0.1486,-0.063,0
202602,12095,"orange, fl",427000,0.0047,0.0107,5046,0.0285,0.0135,78,-0.093,0.1429,1838,0.0372,-0.1069,82,0.2813,0.1389,0.0095,0.0003,0.0014,1782,0.0632,-0.0991,0.2058,-0.0016,-0.0229,1789,0.242,-0.0036,244,0.0024,-0.0121,1730,0.0071,0.0315,648373,0.0096,0.0391,6839,0.0787,0.0104,0.3544,0.0609,-0.0061,0
202602,12129,"wakulla, fl",348200,0.0552,0.0442,196,-0.0485,-0.0508,56,-0.119,0.0777,68,-0.15,0.0968,4,,-0.5,0.0118,0.0118,-0.011,50,0.5625,-0.0741,0.1391,0.0309,-0.0193,97,0.6638,0.3129,206,0.0156,0.056,1538,0.0255,-0.0139,392744,0.0001,-0.0173,292,0.1061,0.0373,0.4923,0.2108,0.1364,0
202602,12093,"okeechobee, fl",348950,-0.0009,-0.0013,182,0.0111,0.1934,99,0.0879,0.1786,46,0.2778,0.0455,0,-1,,0,-0.0143,0,48,0.2,0.1429,0.1647,0.0144,-0.0135,41,0.0658,-0.0122,224,-0.0163,-0.0021,1651,0.0314,0.0794,447399,0.0129,-0.3512,223,0.0301,0.1558,0.2225,0.0114,-0.0463,0
202602,12051,"hendry, fl",340000,-0.0015,-0.0748,303,0.0707,0.2812,81,-0.1925,-0.0329,74,0.0882,0.1563,6,0.5,0.5,0.0138,0.0037,0.0025,68,0.1333,-0.1905,0.1556,0.0045,-0.0824,50,0.1364,-0.1736,220,0.0029,-0.0312,1559,-0.0027,-0.0621,433817,0.0137,-0.1155,352,0.0864,0.1932,0.165,0.0095,-0.0908,0
202602,12086,"miami-dade, fl",599450,-0.0008,-0.0409,18215,-0.0002,0.018,89,-0.0532,0.1266,4052,0.0253,-0.1027,192,-0.0769,-0.0943,0.0075,-0.0009,-0.0008,3418,0.0077,-0.1602,0.1336,-0.0002,-0.0256,3484,0.2406,0.1338,468,-0.0056,-0.0493,1331,-0.0004,0.0072,1562989,0.0057,0.0016,21720,0.0267,0.0365,0.1912,0.0371,0.0195,0
202602,12031,"duval, fl",296900,0.0238,-0.0217,3607,-0.0285,-0.1416,69,-0.1543,0.062,1538,-0.0241,-0.1171,58,0.2083,-0.383,0.0085,0.0012,-0.004,1638,0.0805,-0.2472,0.24,0.0106,-0.0514,1688,0.2885,0.0786,186,0.002,-0.0327,1533,0.0109,-0.0078,403140,0.0062,-0.0215,5289,0.0511,-0.0824,0.468,0.1152,0.0955,0
202602,12071,"lee, fl",399900,-0.0002,-0.091,12677,0.028,-0.1012,83,-0.0179,0.1538,2956,-0.0877,-0.2155,124,0.1071,-0.0882,0.0067,0.0005,-0.0001,4734,0.1061,-0.2585,0.2534,0.0159,-0.061,2996,0.4033,0.2437,244,-0.0065,-0.073,1672,0.0003,-0.0176,676408,0.012,-0.0256,15645,0.0832,-0.0506,0.2363,0.0632,0.0655,0
202602,12023,"columbia, fl",349724,-0.0008,-0.0065,231,0.0199,0.0647,107,-0.0318,0.2456,44,0.1,-0.3125,2,,0,0.006,0.006,-0.0001,62,-0.0882,0.1923,0.1896,-0.0299,0.0248,47,0.0814,-0.0211,189,-0.0136,0.009,1768,-0.0063,-0.0425,453126,0.0035,0.0055,276,0.028,0.0455,0.2017,0.0115,-0.0177,0
202602,12121,"suwannee, fl",349450,-0.0293,-0.0725,104,-0.0236,0.0838,101,-0.0147,-0.0651,28,0.4,0.75,0,,,0,0,0,16,0,-0.5,0.1045,-0.0066,-0.1192,29,-0.05,0.0556,210,-0.0205,-0.0322,1800,0.0417,0.0735,410290,-0.0319,-0.0773,133,-0.0399,0.0905,0.2754,-0.0077,-0.0074,1
202602,12063,"jackson, fl",265125,0.0102,0.0626,143,-0.0372,0.0252,104,0.089,0.1153,38,0.1875,0.0556,0,,,0,0,0,38,0.5833,0.0556,0.1768,0.0636,-0.0055,44,0.3594,0.45,140,-0.2369,-0.0602,1858,0.0141,0.0788,309010,-0.0337,0.0965,187,0.0361,0.1003,0.3053,0.089,0.0894,0
202602,12015,"charlotte, fl",387788,0.0072,-0.0241,3780,-0.0055,-0.1755,93,0,0.1847,828,-0.1446,-0.347,82,0.5769,0.64,0.0147,0.0054,0.0069,1466,0.0875,-0.3207,0.2647,0.0221,-0.0649,967,0.3517,0.3574,225,0.0061,-0.0387,1742,0.0006,0.0116,525778,0.012,0.0437,4717,0.0458,-0.108,0.2557,0.0676,0.1004,0
202602,12029,"dixie, fl",344475,-0.0015,0.1521,100,0.0365,0.4632,109,-0.0802,0.2565,8,-0.5,-0.6667,0,,,0,0,0,14,-0.3,-0.2222,0.1206,-0.0382,-0.0609,12,0.2778,1.0909,202,-0.0014,-0.0486,1589,0.0593,0.2038,422918,0.0336,0.1776,112,0.0769,0.5238,0.1156,0.0218,0.0347,0
202602,12077,"liberty, fl",279750,0.0173,0.4081,16,-0.0313,0.6316,130,0.2696,0.1563,6,,,0,,,0,0,0,4,0,1,0.2426,0.0687,0.0998,2,0,-0.3333,182,0.0501,0.2201,1683,-0.0123,0.0215,281194,0.0606,0.1526,18,0.0294,0.4,0.129,0.004,-0.1868,0
202602,12107,"putnam, fl",330950,0.0185,0.0607,296,-0.015,-0.1045,108,0.0337,0.1346,76,0.1875,0.2667,0,,-1,0,0,-0.0086,98,0.3611,-0.125,0.2214,0.0471,-0.0206,74,0.3611,-0.0516,211,0.013,0.0151,1557,0.0074,-0.0338,428410,0.0178,0.0273,370,0.035,-0.0899,0.2487,0.0687,0.0139,0
202602,12113,"santa rosa, fl",399450,-0.0011,0.0113,1009,-0.0265,-0.0794,73,-0.1098,-0.1152,508,0.3093,0.2828,36,-0.25,-0.1429,0.0169,-0.008,-0.0046,376,0.0217,-0.1493,0.178,-0.0124,-0.0454,605,0.3039,0.321,210,0.011,0.017,1933,-0.0009,0.0183,571551,0.0083,0.0795,1603,0.0737,0.0375,0.5999,0.152,0.1818,0
202602,12101,"pasco, fl",347250,-0.005,-0.0077,3546,0.0399,0.0721,73,-0.1369,0.0741,1326,0.0327,-0.0264,86,1.3889,-0.1569,0.0139,0.0071,-0.003,1508,0.0802,-0.1538,0.2471,0.0132,-0.0379,1352,0.3147,-0.0654,205,-0.0068,-0.0228,1673,0.0048,0.0042,418696,-0.0058,0.0229,4895,0.1037,0.0304,0.3811,0.0797,-0.0561,0
202602,12021,"collier, fl",729500,0.0062,-0.0638,7083,0.0462,-0.0967,86,0.0179,0.2128,1668,-0.0671,-0.1879,32,-0.3333,-0.4074,0.0031,-0.0026,-0.0018,2392,0.2355,-0.2567,0.2358,0.0383,-0.0547,1515,0.469,0.2658,417,0.001,-0.0588,1818,0.0028,0.0073,1702988,0.011,-0.0673,8600,0.1036,-0.0477,0.2138,0.0615,0.0612,0
202602,12117,"seminole, fl",396500,-0.0063,-0.003,1365,0.0081,-0.09,68,-0.0933,0.0543,572,0.007,-0.1227,26,-0.0714,-0.2353,0.0102,-0.0018,-0.0021,556,0.0373,-0.2684,0.2224,0.0094,-0.0531,596,0.4258,0.0127,229,-0.0044,-0.0245,1678,-0.0077,0.0127,490546,-0.0193,0.0198,1968,0.1112,-0.0572,0.4366,0.1279,0.0443,0
202602,12017,"citrus, fl",307750,0.0015,-0.0454,1817,0.0416,0.1325,92,-0.0368,0.2534,454,-0.0847,-0.081,40,2.3333,0.0526,0.015,0.0104,-0.0004,614,0.0233,-0.1472,0.2306,0.0064,-0.0628,438,0.2099,0.1984,183,-0.0002,-0.0408,1697,0.0012,0.0065,390092,-0.003,-0.0247,2243,0.0663,0.1441,0.2411,0.0336,0.0133,0
202602,12083,"marion, fl",299250,0.0008,-0.0167,3934,0.0072,0.1216,91,-0.0269,0.2746,1108,0.0184,0.0018,82,0.2059,0.5769,0.0134,0.0021,0.0043,1464,0.0765,0,0.2331,0.0096,-0.0282,1162,0.268,0.1152,181,-0.0005,-0.0384,1696,0.0052,0.0203,382392,-0.002,-0.0113,5080,0.0546,0.1177,0.2952,0.0607,-0.0017,0
202602,12007,"bradford, fl",313000,-0.0369,-0.0379,68,-0.0145,-0.2,95,-0.0686,0.2338,12,-0.4,-0.5714,0,,,0,0,0,22,-0.3125,-0.3889,0.2122,-0.0761,-0.0345,27,0.2273,-0.0357,198,-0.0351,0.0614,1688,-0.0243,-0.0668,378107,-0.0541,0.0654,94,0.0747,-0.1689,0.3971,0.0782,0.0676,0
202602,12013,"calhoun, fl",248000,0.0925,-0.1664,28,-0.0833,-0.1912,120,-0.1158,-0.1395,8,1,0.3333,0,,,0,0,0,8,0,0,0.1707,-0.0455,0.0038,6,0.2,-0.25,150,0.1765,-0.0558,1578,0.0327,-0.1358,294490,-0.002,-0.119,35,0.0147,-0.1786,0.2182,0.0515,-0.0171,1
202602,12081,"manatee, fl",479000,0.0074,-0.0124,3883,0.0753,-0.0143,78,-0.025,0.1818,1264,-0.0156,-0.1706,54,0.125,-0.0357,0.0082,0.0006,-0.0001,1628,0.0941,-0.1494,0.2478,0.0113,-0.0419,1432,0.369,0.1762,264,-0.0041,-0.0332,1788,0.0119,0.0034,811198,0.0007,0.0626,5314,0.1411,0.0304,0.3688,0.0791,0.0597,0
202602,12133,"washington, fl",303900,0,0.1697,90,-0.0816,-0.0323,110,0.1605,0.4651,16,0,-0.5556,2,,-0.5,0.0143,0.0143,-0.0115,36,0.5,1.25,0.268,0.0848,0.165,27,0.325,-0.2535,176,-0.0516,0.0723,1650,-0.0242,0.0187,419680,0.1804,0.3106,118,-0.0208,-0.0748,0.2944,0.0904,-0.0873,0
202602,12041,"gilchrist, fl",338750,0.0112,-0.0178,74,0.0725,0.1045,81,-0.0718,-0.1884,30,0.5,0.875,0,,,0,0,0,20,0.6667,0.4286,0.1772,0.0607,0.011,16,0.1923,1.2143,201,-0.042,-0.1087,1841,-0.0023,0.1988,435881,0.0239,-0.2572,90,0.0915,0.2095,0.2095,0.0211,0.105,1
